Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,S,Unhealthy,Disease,Disease,Tissue loss,5,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,10,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,25,Medial ,,,,,,,3
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,14:24,14:54,5,14,Submassive,,,,Isopora,Isopora,cuneata,,S,Unhealthy,Disease,Disease,Tissue loss,10,Central,,,Polyps,,Y,,Bites
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,14:24,14:54,5,14,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,1,Peripheral ,,,Polyps,,Y,,
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,14:24,14:54,5,14,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,10,Medial ,,,Polyps,,Y,,
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,14:24,14:54,5,14,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,Polyps,,Y,,
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,14:24,14:54,5,14,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,5,Medial ,,,Polyps,,Y,,
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,14:24,14:54,5,14,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,10,Medial ,,,Polyps,,Y,,
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,14:24,14:54,5,14,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,Polyps,,N,,
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,15:46,16:17,6,15,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,,,,,,N,,No time
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,15:46,16:17,6,15,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,,,,,,N,,No time
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,15:46,16:17,6,15,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,,,,,,N,,No time
21/3/19,21,2019 March,2019,Tess,Erscotts Reef,15:46,16:17,6,15,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,,,,,,N,,No time
19/10/19,19,2019 October,2019,Tess,North Bay,7:23,7:57,9,25,Staghorn,,,18,Acropora,Acropora,SP.,,L,Unhealthy,Disease,Disease,Predation,99.9,,,Predation -\Little left of impact but close by colony are dead,,,,,
19/10/19,19,2019 October,2019,Tess,North Bay,7:23,7:57,9,25,Branching,,,18,Seriatopora,Seriatopora,hystrix,,M,Unhealthy,Disease,Disease,Predation,10,,,Predation,,,,,
19/10/19,19,2019 October,2019,Tess,North Bay,7:23,7:57,9,25,Staghorn,,,18,Acropora,Acropora,SP.,,L,Unhealthy,Disease,Disease,Predation,0.1,,,Predation,,,,,
19/10/19,19,2019 October,2019,Tess,North Bay,7:59,8:18,8,26,Branching,,,18,Seriatopora,Seriatopora,hystrix,,M,Unhealthy,Disease,Disease,Predation,1,,,Predation or competition with algae,,,,,
19/10/19,19,2019 October,2019,Tess,North Bay,7:59,8:18,8,26,Branching,,,18,Seriatopora,Seriatopora,hystrix,,S,Unhealthy,Disease,Disease,Tissue loss,75,,,,,,,,
22/10/19,22,2019 October,2019,Tess,Erscotts Reef,11:18,11:37,5,17,Submassive,,,19,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Growth anomaly,,,,,,,,,
